epoch,loss
1.57,0.4083
1.58,0.4826
1.58,0.3656
1.58,0.3842
1.59,0.3591
1.59,0.4888
1.59,0.3763
1.59,0.3624
1.6,0.3168
1.6,0.3822
1.6,0.3787
1.6,0.4895
1.61,0.2876
1.61,0.3914
1.61,0.2534
1.61,0.4028
1.62,0.2944
1.62,0.3752
1.62,0.3706
1.62,0.3897
1.63,0.2959
1.63,0.2203
1.63,0.4895
1.64,0.3909
1.64,0.3024
1.64,0.2618
1.64,0.3183
1.65,0.3396
1.65,0.4453
1.65,0.4047
1.65,0.3118
1.66,0.382
1.66,0.3554
1.66,0.5299
1.66,0.277
1.67,0.2669
1.67,0.3619
1.67,0.3308
1.67,0.3241
1.68,0.376
1.68,0.2528
1.68,0.4083
1.69,0.3818
1.69,0.5675
1.69,0.3693
1.69,0.3781
1.7,0.4848
1.7,0.3544
1.7,0.3861
1.7,0.3279
1.71,0.3729
1.71,0.4307
1.71,0.3081
1.71,0.5547
1.72,0.3413
1.72,0.4125
1.72,0.4142
1.72,0.3893
1.73,0.3911
1.73,0.5101
1.73,0.4734
1.74,0.4484
1.74,0.3148
1.74,0.4106
1.74,0.38
1.75,0.2827
1.75,0.364
1.75,0.2769
1.75,0.3534
1.76,0.3772
1.76,0.5874
1.76,0.298
1.76,0.3683
1.77,0.3053
1.77,0.3914
1.77,0.4237
1.77,0.3578
1.78,0.3473
1.78,0.5386
1.78,0.3385
1.79,0.4402
1.79,0.342
1.79,0.2355
1.79,0.4465
1.8,0.392
1.8,0.4036
1.8,0.3639
1.8,0.2699
1.81,0.3466
1.81,0.2914
1.81,0.3347
1.81,0.2985
1.82,0.4248
1.82,0.4076
1.82,0.34
1.82,0.3029
1.83,0.4773
1.83,0.4837
1.83,0.319
1.84,0.3774
1.84,0.4032
1.84,0.2926
1.84,0.4554
1.85,0.3822
1.85,0.3204
1.85,0.2876
1.85,0.4781
1.86,0.3235
1.86,0.4585
1.86,0.3044
1.86,0.3622
1.87,0.3263
1.87,0.3413
1.87,0.3578
1.87,0.2709
1.88,0.437
1.88,0.3711
1.88,0.3671
1.89,0.4185
1.89,0.3409
1.89,0.4583
1.89,0.3207
1.9,0.4185
1.9,0.3881
1.9,0.3533
1.9,0.4114
1.91,0.3016
1.91,0.3497
1.91,0.457
1.91,0.4412
1.92,0.3607
1.92,0.4933
1.92,0.3095
1.92,0.4853
1.93,0.3201
1.93,0.3496
1.93,0.3195
1.94,0.353
1.94,0.3831
1.94,0.4516
1.94,0.4067
1.95,0.4164
1.95,0.367
1.95,0.4506
1.95,0.3458
1.96,0.3659
1.96,0.4039
1.96,0.3237
1.96,0.2737
1.97,0.3067
1.97,0.4052
1.97,0.3753
1.97,0.4389
1.98,0.5561
1.98,0.3988
1.98,0.3156
1.99,0.4108
1.99,0.406
1.99,0.3838
1.99,0.3538
2.0,0.4911
2.0,0.4652
2.0,0.3484
2.0,0.2527
2.01,0.3726
2.01,0.3246
2.01,0.3887
2.01,0.3661
2.02,0.2227
2.02,0.3174
2.02,0.3998
2.02,0.3011
2.03,0.2586
2.03,0.3932
2.03,0.2919
2.04,0.2817
2.04,0.293
2.04,0.2898
2.04,0.4446
2.05,0.3796
2.05,0.2685
2.05,0.2461
2.05,0.3269
2.06,0.3713
2.06,0.2183
2.06,0.3558
2.06,0.2627
2.07,0.2756
2.07,0.2615
2.07,0.2823
2.07,0.3245
2.08,0.2634
2.08,0.3065
2.08,0.4065
2.09,0.3027
2.09,0.2711
2.09,0.3822
2.09,0.3318
2.1,0.3332
2.1,0.2712
2.1,0.404
2.1,0.3706
2.11,0.5261
2.11,0.3551
2.11,0.3424
2.11,0.2866
2.12,0.3433
2.12,0.2159
2.12,0.2955
2.12,0.2522
2.13,0.3159
2.13,0.2921
2.13,0.3236
2.14,0.4392
2.14,0.302
2.14,0.3229
2.14,0.3637
2.15,0.3937
2.15,0.3241
2.15,0.3919
2.15,0.3
2.16,0.4818
2.16,0.5284
2.16,0.2934
2.16,0.3485
2.17,0.2796
2.17,0.3557
2.17,0.2942
2.17,0.3888
2.18,0.3373
2.18,0.3449
2.18,0.2662
2.19,0.2825
2.19,0.4794
2.19,0.3676
2.19,0.2413
2.2,0.3752
2.2,0.3176
2.2,0.2624
2.2,0.4638
2.21,0.4344
2.21,0.4036
2.21,0.3108
2.21,0.3532
2.22,0.3896
2.22,0.3896
2.22,0.3197
2.22,0.4102
2.23,0.3065
2.23,0.3262
2.23,0.3071
2.24,0.2898
2.24,0.4223
2.24,0.209
2.24,0.5309
2.25,0.3488
2.25,0.2376
2.25,0.4241
2.25,0.3578
2.26,0.3891
2.26,0.2952
2.26,0.3632
2.26,0.4057
2.27,0.2685
2.27,0.331
2.27,0.2741
2.27,0.2731
2.28,0.3346
2.28,0.3677
2.28,0.3187
2.29,0.3325
2.29,0.318
2.29,0.2723
2.29,0.3383
2.3,0.3863
2.3,0.2345
2.3,0.3889
2.3,0.2955
2.31,0.3644
2.31,0.2627
2.31,0.2823
2.31,0.4689
2.32,0.3668
2.32,0.3152
2.32,0.3686
2.32,0.4061
2.33,0.3144
2.33,0.2933
2.33,0.3801
2.34,0.2354
2.34,0.3309
2.34,0.3653
2.34,0.3145
2.35,0.3729
2.35,0.3265
2.35,0.3182
2.35,0.3257
2.36,0.3699
2.36,0.2814
2.36,0.3417
2.36,0.4722
2.37,0.3328
2.37,0.3083
2.37,0.2685
2.37,0.3519
2.38,0.2686
2.38,0.3388
2.38,0.4033
2.39,0.2699
2.39,0.5261
2.39,0.333
2.39,0.3501
2.4,0.2949
2.4,0.3879
2.4,0.4583
2.4,0.272
2.41,0.3734
2.41,0.327
2.41,0.5398
2.41,0.3415
2.42,0.453
2.42,0.2216
2.42,0.2529
