epoch,loss
0.56,0.2037
0.57,0.2043
0.57,0.1997
0.57,0.2411
0.57,0.4166
0.57,0.3302
0.57,0.1838
0.57,0.2506
0.57,0.2826
0.57,0.2071
0.58,0.2767
0.58,0.23
0.58,0.2019
0.58,0.2044
0.58,0.2384
0.58,0.2646
0.58,0.381
0.58,0.1893
0.58,0.1638
0.58,0.3216
0.59,0.2493
0.59,0.3145
0.59,0.318
0.59,0.3053
0.59,0.2493
0.59,0.4375
0.59,0.2248
0.59,0.268
0.59,0.2725
0.6,0.267
0.6,0.1569
0.6,0.2324
0.6,0.3225
0.6,0.1251
0.6,0.2439
0.6,0.2094
0.6,0.2924
0.6,0.2461
0.6,0.4673
0.61,0.2296
0.61,0.2226
0.61,0.2523
0.61,0.2459
0.61,0.3624
0.61,0.2662
0.61,0.3725
0.61,0.2775
0.61,0.2925
0.62,0.4685
0.62,0.3485
0.62,0.2051
0.62,0.2794
0.62,0.4014
0.62,0.2714
0.62,0.2328
0.62,0.2438
0.62,0.3028
0.62,0.2523
0.63,0.3392
0.63,0.1957
0.63,0.3178
0.63,0.3764
0.63,0.2163
0.63,0.1442
0.63,0.3234
0.63,0.3369
0.63,0.2749
0.64,0.1617
0.64,0.2154
0.64,0.3212
0.64,0.256
0.64,0.3369
0.64,0.2856
0.64,0.2312
0.64,0.2853
0.64,0.4171
0.64,0.2113
0.65,0.2745
0.65,0.1843
0.65,0.1571
0.65,0.2686
0.65,0.3242
0.65,0.29
0.65,0.3055
0.65,0.3761
0.65,0.2174
0.66,0.4709
0.66,0.1713
0.66,0.3296
0.66,0.3354
0.66,0.2079
0.66,0.1809
0.66,0.2231
0.66,0.2517
0.66,0.3457
0.66,0.2715
0.67,0.2926
0.67,0.3288
0.67,0.4417
0.67,0.3299
0.67,0.1312
0.67,0.3789
0.67,0.3101
0.67,0.2122
0.67,0.3227
0.68,0.1993
0.68,0.2291
0.68,0.2559
0.68,0.211
0.68,0.1801
0.68,0.3218
0.68,0.3631
0.68,0.283
0.68,0.1674
0.68,0.2378
0.69,0.3649
0.69,0.3728
0.69,0.3075
0.69,0.3076
0.69,0.2342
0.69,0.2357
0.69,0.2156
0.69,0.1943
0.69,0.3318
0.7,0.2248
0.7,0.3373
0.7,0.1741
0.7,0.1579
0.7,0.2083
0.7,0.2377
0.7,0.2124
0.7,0.2521
0.7,0.2347
0.7,0.4204
0.71,0.246
0.71,0.1806
0.71,0.1736
0.71,0.1262
0.71,0.2678
0.71,0.2286
0.71,0.2735
0.71,0.1734
0.71,0.2856
0.72,0.2431
0.72,0.2391
0.72,0.2993
0.72,0.2361
0.72,0.189
0.72,0.213
0.72,0.3768
0.72,0.1899
0.72,0.366
0.72,0.1984
0.73,0.1285
0.73,0.1843
0.73,0.2368
0.73,0.3761
0.73,0.1992
0.73,0.2847
0.73,0.1732
0.73,0.277
0.73,0.1737
0.74,0.126
0.74,0.2133
0.74,0.2633
0.74,0.1639
0.74,0.2688
0.74,0.3741
0.74,0.2502
0.74,0.2344
0.74,0.1398
0.74,0.1901
0.75,0.1756
0.75,0.1874
0.75,0.1695
0.75,0.1887
0.75,0.2778
0.75,0.2936
0.75,0.256
0.75,0.2136
0.75,0.2475
0.76,0.189
0.76,0.1417
0.76,0.2898
0.76,0.2884
0.76,0.2425
0.76,0.2972
0.76,0.1951
0.76,0.2969
0.76,0.1721
0.76,0.2203
0.77,0.2231
0.77,0.2696
0.77,0.415
0.77,0.257
0.77,0.289
0.77,0.1609
0.77,0.1026
0.77,0.1322
0.77,0.2937
0.78,0.1967
0.78,0.4176
0.78,0.408
0.78,0.1861
0.78,0.3285
0.78,0.1595
0.78,0.1956
0.78,0.242
0.78,0.2028
0.78,0.4149
0.79,0.2306
0.79,0.3447
0.79,0.3258
0.79,0.4455
0.79,0.3055
0.79,0.3164
0.79,0.4032
0.79,0.2351
0.79,0.1163
0.8,0.2868
0.8,0.2375
0.8,0.2734
0.8,0.2639
0.8,0.3654
0.8,0.3919
0.8,0.2297
0.8,0.1801
0.8,0.223
0.8,0.1336
0.81,0.279
0.81,0.2907
0.81,0.2646
0.81,0.2074
0.81,0.3247
0.81,0.2275
0.81,0.1524
0.81,0.356
0.81,0.1849
0.82,0.3659
0.82,0.3264
0.82,0.2963
0.82,0.215
0.82,0.2591
0.82,0.1746
0.82,0.2605
0.82,0.2747
0.82,0.1956
0.82,0.1502
0.83,0.1778
0.83,0.3495
0.83,0.2362
0.83,0.2302
0.83,0.2163
0.83,0.1987
0.83,0.1887
0.83,0.2763
0.83,0.2268
0.84,0.2703
0.84,0.2787
0.84,0.2295
0.84,0.1758
0.84,0.2278
0.84,0.1821
0.84,0.3547
0.84,0.2743
0.84,0.3293
0.84,0.2412
0.85,0.1613
0.85,0.1658
0.85,0.2487
0.85,0.2461
0.85,0.2515
0.85,0.1733
0.85,0.3471
0.85,0.1366
0.85,0.1335
0.86,0.1879
0.86,0.2474
0.86,0.2191
0.86,0.2101
0.86,0.4993
0.86,0.23
0.86,0.1896
0.86,0.1287
0.86,0.2716
0.86,0.2468
0.87,0.3141
0.87,0.3345
0.87,0.1648
0.87,0.3106
0.87,0.2542
0.87,0.2822
0.87,0.2481
0.87,0.3351
0.87,0.2147
0.88,0.2613
0.88,0.2527
0.88,0.1729
0.88,0.3285
0.88,0.3254
0.88,0.2002
0.88,0.2113
0.88,0.2432
0.88,0.2062
0.88,0.3127
0.89,0.1933
0.89,0.3936
0.89,0.2515
0.89,0.1715
0.89,0.2419
0.89,0.2517
0.89,0.2116
0.89,0.4773
0.89,0.4048
0.9,0.1824
0.9,0.2436
0.9,0.2991
0.9,0.2083
0.9,0.1996
0.9,0.6483
0.9,0.2477
0.9,0.2425
0.9,0.3247
0.9,0.2318
0.91,0.2199
0.91,0.3619
0.91,0.3613
0.91,0.2625
0.91,0.2907
0.91,0.2861
0.91,0.2769
0.91,0.2122
0.91,0.2082
0.92,0.3083
0.92,0.2703
0.92,0.2862
0.92,0.2488
0.92,0.1906
0.92,0.3412
0.92,0.2776
0.92,0.2299
0.92,0.2252
0.92,0.2949
0.93,0.3251
0.93,0.2592
0.93,0.1304
0.93,0.2819
0.93,0.2476
0.93,0.5034
0.93,0.4046
0.93,0.2353
0.93,0.2441
0.94,0.2473
0.94,0.2465
0.94,0.1472
0.94,0.2487
0.94,0.2343
0.94,0.1906
0.94,0.3879
0.94,0.2094
0.94,0.2484
0.94,0.1781
0.95,0.2171
0.95,0.2167
0.95,0.2148
0.95,0.3092
0.95,0.2121
0.95,0.1921
0.95,0.2182
0.95,0.1484
0.95,0.3484
0.96,0.2271
0.96,0.3046
0.96,0.2619
0.96,0.3751
0.96,0.1734
0.96,0.2868
0.96,0.1873
0.96,0.3574
0.96,0.1441
0.96,0.3155
0.97,0.3817
0.97,0.2103
0.97,0.2134
0.97,0.2656
0.97,0.167
0.97,0.2241
0.97,0.2914
0.97,0.2328
0.97,0.1734
0.98,0.1979
0.98,0.2168
0.98,0.2466
0.98,0.2661
0.98,0.2563
0.98,0.2992
0.98,0.3232
0.98,0.2033
0.98,0.1798
0.98,0.3015
0.99,0.1937
0.99,0.2472
0.99,0.3005
0.99,0.2122
0.99,0.2998
0.99,0.2178
0.99,0.299
0.99,0.1365
0.99,0.1956
1,0.2618
1,0.1939
1,0.2436
1,0.3538
1,0.3434
1,0.2653
1,0.2048
1,0.1786
1,0.2227
1,0.3259
1.01,0.1208
1.01,0.1415
1.01,0.1404
1.01,0.229
1.01,0.1524
1.01,0.2811
1.01,0.2292
1.01,0.3002
1.01,0.1691
1.02,0.1694
1.02,0.1374
1.02,0.2021
1.02,0.3015
1.02,0.1476
1.02,0.0812
1.02,0.2173
1.02,0.1982
1.02,0.2505
1.02,0.2891
1.03,0.1649
1.03,0.1558
1.03,0.1194
1.03,0.1904
1.03,0.1533
1.03,0.2858
1.03,0.2077
1.03,0.2004
1.03,0.1486
1.04,0.1573
1.04,0.1107
1.04,0.1082
1.04,0.2354
1.04,0.2574
1.04,0.1219
1.04,0.1625
1.04,0.0907
1.04,0.3196
1.04,0.204
1.05,0.1954
1.05,0.1414
1.05,0.1882
1.05,0.2548
1.05,0.2755
1.05,0.1444
1.05,0.2466
1.05,0.0955
1.05,0.2171
1.06,0.1817
1.06,0.1929
1.06,0.1424
1.06,0.2534
1.06,0.3057
1.06,0.2184
1.06,0.2042
1.06,0.2032
1.06,0.1204
1.06,0.1569
1.07,0.1617
1.07,0.2616
1.07,0.2207
1.07,0.1576
1.07,0.193
1.07,0.1495
1.07,0.1905
1.07,0.319
1.07,0.2542
1.08,0.2004
1.08,0.1715
1.08,0.1777
1.08,0.1112
1.08,0.2099
1.08,0.34
1.08,0.3791
1.08,0.083
1.08,0.1912
1.08,0.205
1.09,0.2022
1.09,0.2787
1.09,0.3912
1.09,0.1678
1.09,0.1517
1.09,0.1938
1.09,0.1384
1.09,0.2427
1.09,0.1941
1.1,0.1542
1.1,0.1631
1.1,0.3212
1.1,0.1488
1.1,0.1667
1.1,0.1942
1.1,0.2277
1.1,0.1214
1.1,0.3386
1.1,0.1107
1.11,0.1414
1.11,0.2838
1.11,0.2492
1.11,0.1376
1.11,0.1893
1.11,0.1775
1.11,0.2215
1.11,0.2678
1.11,0.1416
1.12,0.1993
1.12,0.1147
1.12,0.1704
1.12,0.2076
1.12,0.1552
1.12,0.1899
1.12,0.1692
1.12,0.2171
1.12,0.1842
1.12,0.2243
1.13,0.1324
1.13,0.2099
1.13,0.152
1.13,0.2358
1.13,0.2327
1.13,0.1252
1.13,0.1549
1.13,0.1408
1.13,0.2574
1.14,0.2511
1.14,0.2485
1.14,0.1241
1.14,0.2029
1.14,0.189
1.14,0.1993
1.14,0.1189
1.14,0.1364
1.14,0.2425
1.14,0.1612
1.15,0.1354
1.15,0.2322
1.15,0.1969
1.15,0.1687
1.15,0.2131
1.15,0.1968
1.15,0.244
1.15,0.2462
1.15,0.2652
1.16,0.1259
1.16,0.2243
1.16,0.1934
1.16,0.0946
1.16,0.1348
1.16,0.1581
1.16,0.2334
1.16,0.1314
1.16,0.2739
1.16,0.2657
1.17,0.1269
1.17,0.3003
1.17,0.2457
1.17,0.1947
1.17,0.2791
1.17,0.2356
1.17,0.158
1.17,0.2112
1.17,0.1744
1.18,0.1596
1.18,0.1637
1.18,0.2568
1.18,0.1922
1.18,0.1447
1.18,0.2456
1.18,0.1887
1.18,0.2024
1.18,0.1351
1.18,0.2119
1.19,0.2256
1.19,0.1361
1.19,0.1699
1.19,0.1602
1.19,0.2031
1.19,0.1635
1.19,0.2053
1.19,0.1528
1.19,0.2058
1.2,0.2261
1.2,0.2249
1.2,0.2307
1.2,0.1775
1.2,0.1917
1.2,0.3399
1.2,0.2154
1.2,0.2657
1.2,0.197
1.2,0.2064
1.21,0.1392
1.21,0.1678
1.21,0.2682
1.21,0.1581
1.21,0.399
1.21,0.2113
1.21,0.2179
1.21,0.111
1.21,0.1543
1.22,0.167
1.22,0.2887
1.22,0.2393
1.22,0.2967
1.22,0.1631
1.22,0.1352
1.22,0.145
1.22,0.2481
1.22,0.2272
1.22,0.2621
1.23,0.2452
1.23,0.1192
1.23,0.1995
1.23,0.2114
1.23,0.3139
1.23,0.1047
1.23,0.1332
1.23,0.1909
1.23,0.1531
1.24,0.1942
1.24,0.1296
1.24,0.1485
1.24,0.187
1.24,0.2048
1.24,0.1728
1.24,0.126
1.24,0.2202
1.24,0.1635
1.24,0.2324
1.25,0.1155
1.25,0.2026
1.25,0.1879
1.25,0.1665
1.25,0.2226
1.25,0.1951
1.25,0.2327
1.25,0.1436
1.25,0.1777
1.26,0.1901
1.26,0.1746
